file,line,real_a,real_k,real_b,mle_b,success
erik-sim/a1_k20_b3/trees.tre,106,1.0,20.0,3.0,3.874197618005184,True
erik-sim/a1_k20_b3/trees.tre,111,1.0,20.0,3.0,2.758627893469824,True
erik-sim/a1_k20_b3/trees.tre,112,1.0,20.0,3.0,3.7354332494491658,True
erik-sim/a1_k20_b3/trees.tre,113,1.0,20.0,3.0,2.758432973877845,True
erik-sim/a1_k20_b3/trees.tre,114,1.0,20.0,3.0,2.9006599298383087,True
erik-sim/a1_k20_b3/trees.tre,115,1.0,20.0,3.0,2.1376552903635604,True
erik-sim/a1_k20_b3/trees.tre,116,1.0,20.0,3.0,2.5698690220370812,True
erik-sim/a1_k20_b3/trees.tre,118,1.0,20.0,3.0,3.0440357197714465,True
erik-sim/a1_k20_b3/trees.tre,120,1.0,20.0,3.0,3.322472648507003,True
erik-sim/a1_k20_b3/trees.tre,122,1.0,20.0,3.0,2.093615483156939,True
erik-sim/a1_k20_b3/trees.tre,123,1.0,20.0,3.0,2.2520773146893527,True
erik-sim/a1_k20_b3/trees.tre,124,1.0,20.0,3.0,3.9950625977509584,True
erik-sim/a1_k20_b3/trees.tre,125,1.0,20.0,3.0,3.333369634061529,True
erik-sim/a1_k20_b3/trees.tre,126,1.0,20.0,3.0,4.011151803777287,True
erik-sim/a1_k20_b3/trees.tre,127,1.0,20.0,3.0,2.9816583117734172,True
erik-sim/a1_k20_b3/trees.tre,128,1.0,20.0,3.0,2.0160766947672206,True
erik-sim/a1_k20_b3/trees.tre,131,1.0,20.0,3.0,1.968942605970248,True
erik-sim/a1_k20_b3/trees.tre,132,1.0,20.0,3.0,3.106826321999777,True
erik-sim/a1_k20_b3/trees.tre,133,1.0,20.0,3.0,2.8105568164592345,True
erik-sim/a1_k20_b3/trees.tre,134,1.0,20.0,3.0,2.0245077402101863,True
erik-sim/a1_k20_b3/trees.tre,135,1.0,20.0,3.0,2.9324624473461522,True
erik-sim/a1_k20_b3/trees.tre,136,1.0,20.0,3.0,1.6975148482162419,True
erik-sim/a1_k20_b3/trees.tre,137,1.0,20.0,3.0,2.6888556334434277,True
erik-sim/a1_k20_b4/trees.tre,2,1.0,20.0,4.0,3.297678980441117,True
erik-sim/a1_k20_b4/trees.tre,3,1.0,20.0,4.0,2.9701595195084245,True
erik-sim/a1_k20_b4/trees.tre,5,1.0,20.0,4.0,4.173109478277442,True
erik-sim/a1_k20_b4/trees.tre,6,1.0,20.0,4.0,3.7148236938604864,True
